# Simulation Parameters
# Box dimensions: 5 x 40 x 5
# Temperature: 0.8
# Total steps: 100000
# Log interval: 200
# Max displacement: 0.125
# Distortions (d1, d2): {'sx': 0.999995, 'sy': 1.00001, 'sz': 0.999995}, {'sx': 1.000005, 'sy': 0.99999, 'sz': 1.000005}
# Reset sampling at: [40, 10000, 20000]
# Console freq: 50
# Trajectory freq/file: 200/data/vle-0.80-reference_trajectory.xyz

# step   E_pot     acc     e1        avg1      gamma1    e2        avg2      gamma2
 55200  -914.260  0.475  9.997e-01  9.998e-01     0.540  1.000e+00  1.000e+00     0.540
 55400  -930.123  0.593  1.000e+00  9.998e-01     0.530  9.996e-01  1.000e+00     0.530
 55600  -905.725  0.537  1.001e+00  9.998e-01     0.516  9.994e-01  1.000e+00     0.516
 55800  -960.827  0.525  9.999e-01  9.998e-01     0.514  1.000e+00  1.000e+00     0.514
 56000  -979.464  0.469  1.001e+00  9.998e-01     0.500  9.994e-01  1.000e+00     0.500
 56200  -934.402  0.543  9.998e-01  9.998e-01     0.501  1.000e+00  1.000e+00     0.501
 56400  -949.817  0.519  9.995e-01  9.998e-01     0.507  1.001e+00  1.000e+00     0.507
 56600  -946.913  0.463  1.000e+00  9.998e-01     0.504  9.999e-01  1.000e+00     0.504
 56800  -942.761  0.525  1.000e+00  9.998e-01     0.501  1.000e+00  1.000e+00     0.501
 57000  -908.635  0.525  1.000e+00  9.998e-01     0.491  9.996e-01  1.000e+00     0.491
 57200  -909.668  0.500  1.001e+00  9.999e-01     0.479  9.994e-01  1.000e+00     0.479
 57400  -908.530  0.568  9.989e-01  9.998e-01     0.495  1.001e+00  1.000e+00     0.495
 57600  -915.465  0.525  9.998e-01  9.998e-01     0.495  1.000e+00  1.000e+00     0.495
 57800  -938.476  0.488  1.001e+00  9.998e-01     0.480  9.993e-01  1.000e+00     0.480
 58000  -921.384  0.420  1.000e+00  9.999e-01     0.478  1.000e+00  1.000e+00     0.478
 58200  -925.580  0.525  9.991e-01  9.998e-01     0.490  1.001e+00  1.000e+00     0.490
 58400  -958.255  0.512  9.995e-01  9.998e-01     0.496  1.001e+00  1.000e+00     0.496
 58600  -943.065  0.531  1.000e+00  9.998e-01     0.493  1.000e+00  1.000e+00     0.494
 58800  -894.574  0.691  1.001e+00  9.999e-01     0.477  9.991e-01  1.000e+00     0.477
 59000  -866.256  0.537  1.001e+00  9.999e-01     0.466  9.995e-01  1.000e+00     0.466
 59200  -908.300  0.457  1.000e+00  9.999e-01     0.461  9.998e-01  1.000e+00     0.461
 59400  -950.506  0.494  1.000e+00  9.999e-01     0.454  9.997e-01  1.000e+00     0.454
 59600  -902.967  0.537  9.991e-01  9.999e-01     0.467  1.001e+00  1.000e+00     0.467
 59800  -874.740  0.537  9.995e-01  9.999e-01     0.472  1.000e+00  1.000e+00     0.472
 60000  -890.367  0.599  1.000e+00  9.999e-01     0.469  9.999e-01  1.000e+00     0.469
 60200  -887.761  0.549  9.998e-01  9.999e-01     0.470  1.000e+00  1.000e+00     0.470
 60400  -923.474  0.512  9.995e-01  9.999e-01     0.476  1.000e+00  1.000e+00     0.476
 60600  -917.306  0.469  9.992e-01  9.998e-01     0.485  1.001e+00  1.000e+00     0.486
 60800  -909.964  0.512  9.998e-01  9.998e-01     0.487  1.000e+00  1.000e+00     0.487
 61000  -925.492  0.438  9.993e-01  9.998e-01     0.496  1.001e+00  1.000e+00     0.496
 61200  -925.444  0.611  1.000e+00  9.998e-01     0.486  9.995e-01  1.000e+00     0.486
 61400  -903.713  0.506  9.993e-01  9.998e-01     0.495  1.001e+00  1.000e+00     0.496
 61600  -877.670  0.531  9.997e-01  9.998e-01     0.498  1.000e+00  1.000e+00     0.498
 61800  -922.761  0.562  1.000e+00  9.998e-01     0.493  9.998e-01  1.000e+00     0.493
 62000  -878.082  0.519  9.989e-01  9.998e-01     0.507  1.001e+00  1.000e+00     0.507
 62200  -858.236  0.636  9.997e-01  9.998e-01     0.510  1.000e+00  1.000e+00     0.510
 62400  -920.440  0.556  9.998e-01  9.998e-01     0.510  1.000e+00  1.000e+00     0.510
 62600  -908.907  0.574  9.997e-01  9.998e-01     0.513  1.000e+00  1.000e+00     0.513
 62800  -894.495  0.500  9.994e-01  9.998e-01     0.520  1.001e+00  1.000e+00     0.520
 63000  -898.713  0.525  9.998e-01  9.998e-01     0.521  1.000e+00  1.000e+00     0.521
 63200  -910.423  0.512  1.002e+00  9.998e-01     0.495  9.984e-01  1.000e+00     0.495
 63400  -968.659  0.586  9.998e-01  9.998e-01     0.496  1.000e+00  1.000e+00     0.496
 63600  -905.134  0.537  1.000e+00  9.998e-01     0.492  9.999e-01  1.000e+00     0.492
 63800  -962.777  0.593  9.997e-01  9.998e-01     0.494  1.000e+00  1.000e+00     0.494
 64000  -861.643  0.562  9.998e-01  9.998e-01     0.494  1.000e+00  1.000e+00     0.494
 64200  -870.553  0.549  9.997e-01  9.998e-01     0.496  1.000e+00  1.000e+00     0.496
 64400  -864.211  0.525  9.994e-01  9.998e-01     0.502  1.001e+00  1.000e+00     0.502
 64600  -906.173  0.556  1.000e+00  9.998e-01     0.498  9.999e-01  1.000e+00     0.498
 64800  -896.780  0.525  9.999e-01  9.998e-01     0.497  1.000e+00  1.000e+00     0.497
 65000  -921.072  0.438  9.997e-01  9.998e-01     0.498  1.000e+00  1.000e+00     0.498
 65200  -966.622  0.556  1.000e+00  9.998e-01     0.496  1.000e+00  1.000e+00     0.496
 65400  -977.695  0.475  9.997e-01  9.998e-01     0.497  1.000e+00  1.000e+00     0.498
 65600  -929.496  0.531  1.000e+00  9.998e-01     0.490  9.996e-01  1.000e+00     0.490
 65800  -969.553  0.506  9.997e-01  9.998e-01     0.491  1.000e+00  1.000e+00     0.491
 66000  -883.003  0.543  9.998e-01  9.998e-01     0.492  1.000e+00  1.000e+00     0.492
 66200  -873.206  0.568  9.995e-01  9.998e-01     0.497  1.001e+00  1.000e+00     0.497
 66400  -850.350  0.469  9.998e-01  9.998e-01     0.498  1.000e+00  1.000e+00     0.498
 66600  -837.965  0.586  9.994e-01  9.998e-01     0.504  1.001e+00  1.000e+00     0.504
 66800  -837.611  0.593  9.999e-01  9.998e-01     0.503  1.000e+00  1.000e+00     0.503
 67000  -871.528  0.488  9.991e-01  9.998e-01     0.513  1.001e+00  1.000e+00     0.513
 67200  -877.968  0.500  1.000e+00  9.998e-01     0.511  1.000e+00  1.000e+00     0.511
 67400  -910.054  0.593  9.990e-01  9.998e-01     0.522  1.001e+00  1.000e+00     0.522
 67600  -900.524  0.599  9.995e-01  9.998e-01     0.527  1.001e+00  1.000e+00     0.527
 67800  -894.009  0.494  9.997e-01  9.998e-01     0.529  1.000e+00  1.000e+00     0.529
 68000  -898.405  0.500  9.993e-01  9.998e-01     0.536  1.001e+00  1.000e+00     0.536
 68200  -934.270  0.531  9.993e-01  9.998e-01     0.543  1.001e+00  1.000e+00     0.543
 68400  -889.063  0.599  1.001e+00  9.998e-01     0.530  9.991e-01  1.000e+00     0.530
 68600  -900.043  0.586  9.998e-01  9.998e-01     0.530  1.000e+00  1.000e+00     0.530
 68800  -836.817  0.586  1.000e+00  9.998e-01     0.522  9.995e-01  1.000e+00     0.522
 69000  -888.855  0.457  9.998e-01  9.998e-01     0.523  1.000e+00  1.000e+00     0.523
 69200  -926.422  0.543  1.001e+00  9.998e-01     0.507  9.990e-01  1.000e+00     0.507
 69400  -876.625  0.630  1.000e+00  9.998e-01     0.500  9.996e-01  1.000e+00     0.501
 69600  -844.941  0.580  9.997e-01  9.998e-01     0.502  1.000e+00  1.000e+00     0.502
 69800  -900.578  0.519  9.997e-01  9.998e-01     0.504  1.000e+00  1.000e+00     0.504
 70000  -923.669  0.481  9.989e-01  9.998e-01     0.516  1.001e+00  1.000e+00     0.516
 70200  -883.503  0.506  9.996e-01  9.998e-01     0.518  1.000e+00  1.000e+00     0.519
 70400  -834.677  0.562  1.001e+00  9.998e-01     0.508  9.994e-01  1.000e+00     0.509
 70600  -854.928  0.586  9.994e-01  9.998e-01     0.513  1.001e+00  1.000e+00     0.513
 70800  -886.186  0.531  1.000e+00  9.998e-01     0.507  9.997e-01  1.000e+00     0.507
 71000  -899.596  0.593  9.993e-01  9.998e-01     0.514  1.001e+00  1.000e+00     0.514
 71200  -910.510  0.494  1.000e+00  9.998e-01     0.507  9.995e-01  1.000e+00     0.507
 71400  -894.201  0.562  9.995e-01  9.998e-01     0.511  1.001e+00  1.000e+00     0.511
 71600  -884.844  0.537  1.000e+00  9.998e-01     0.503  9.995e-01  1.000e+00     0.503
 71800  -948.848  0.580  1.000e+00  9.998e-01     0.501  1.000e+00  1.000e+00     0.501
 72000  -960.172  0.531  9.993e-01  9.998e-01     0.508  1.001e+00  1.000e+00     0.508
 72200  -893.745  0.512  1.000e+00  9.998e-01     0.504  9.998e-01  1.000e+00     0.504
 72400  -943.881  0.469  9.989e-01  9.998e-01     0.515  1.001e+00  1.000e+00     0.515
 72600  -939.126  0.525  9.991e-01  9.998e-01     0.524  1.001e+00  1.000e+00     0.524
 72800  -947.287  0.549  1.000e+00  9.998e-01     0.523  1.000e+00  1.000e+00     0.523
 73000  -954.872  0.574  9.999e-01  9.998e-01     0.521  1.000e+00  1.000e+00     0.522
 73200  -987.124  0.568  9.991e-01  9.998e-01     0.531  1.001e+00  1.000e+00     0.531
 73400  -942.009  0.506  1.000e+00  9.998e-01     0.529  1.000e+00  1.000e+00     0.529
 73600  -909.229  0.481  1.000e+00  9.998e-01     0.524  9.997e-01  1.000e+00     0.524
 73800  -906.058  0.531  1.000e+00  9.998e-01     0.521  9.999e-01  1.000e+00     0.521
 74000  -907.381  0.549  9.989e-01  9.998e-01     0.532  1.001e+00  1.000e+00     0.532
 74200  -892.857  0.580  9.990e-01  9.998e-01     0.542  1.001e+00  1.000e+00     0.542
 74400  -882.969  0.617  1.000e+00  9.998e-01     0.539  9.999e-01  1.000e+00     0.539
 74600  -895.686  0.605  9.999e-01  9.998e-01     0.538  1.000e+00  1.000e+00     0.538
 74800  -891.097  0.543  9.994e-01  9.998e-01     0.542  1.001e+00  1.000e+00     0.543
 75000  -899.135  0.549  1.000e+00  9.998e-01     0.536  9.996e-01  1.000e+00     0.536
 75200  -907.562  0.531  9.999e-01  9.998e-01     0.535  1.000e+00  1.000e+00     0.535
 75400  -917.216  0.580  9.994e-01  9.998e-01     0.540  1.001e+00  1.000e+00     0.540
 75600  -885.608  0.593  1.001e+00  9.998e-01     0.530  9.993e-01  1.000e+00     0.530
 75800  -887.837  0.562  9.996e-01  9.998e-01     0.533  1.000e+00  1.000e+00     0.533
 76000  -885.016  0.543  9.993e-01  9.998e-01     0.538  1.001e+00  1.000e+00     0.538
 76200  -882.378  0.586  9.997e-01  9.998e-01     0.539  1.000e+00  1.000e+00     0.540
 76400  -867.669  0.531  1.001e+00  9.998e-01     0.525  9.989e-01  1.000e+00     0.525
 76600  -862.587  0.611  1.000e+00  9.998e-01     0.521  9.998e-01  1.000e+00     0.521
 76800  -825.974  0.556  9.999e-01  9.998e-01     0.521  1.000e+00  1.000e+00     0.521
 77000  -879.366  0.574  9.992e-01  9.998e-01     0.528  1.001e+00  1.000e+00     0.528
 77200  -894.821  0.593  9.994e-01  9.998e-01     0.532  1.001e+00  1.000e+00     0.532
 77400  -914.098  0.469  1.000e+00  9.998e-01     0.531  1.000e+00  1.000e+00     0.531
 77600  -891.892  0.475  1.000e+00  9.998e-01     0.524  9.996e-01  1.000e+00     0.524
 77800  -882.703  0.568  1.000e+00  9.998e-01     0.517  9.995e-01  1.000e+00     0.517
 78000  -883.358  0.574  1.000e+00  9.998e-01     0.510  9.995e-01  1.000e+00     0.510
 78200  -893.471  0.568  1.000e+00  9.998e-01     0.507  9.999e-01  1.000e+00     0.507
 78400  -907.151  0.543  9.997e-01  9.998e-01     0.509  1.000e+00  1.000e+00     0.509
 78600  -929.880  0.599  9.993e-01  9.998e-01     0.515  1.001e+00  1.000e+00     0.515
 78800  -924.825  0.481  9.999e-01  9.998e-01     0.514  1.000e+00  1.000e+00     0.514
 79000  -930.975  0.580  9.996e-01  9.998e-01     0.517  1.000e+00  1.000e+00     0.517
 79200  -910.580  0.556  1.000e+00  9.998e-01     0.514  9.999e-01  1.000e+00     0.514
 79400  -874.984  0.525  9.999e-01  9.998e-01     0.513  1.000e+00  1.000e+00     0.513
 79600  -843.033  0.605  9.999e-01  9.998e-01     0.513  1.000e+00  1.000e+00     0.513
 79800  -875.331  0.586  1.000e+00  9.998e-01     0.508  9.997e-01  1.000e+00     0.508
 80000  -861.519  0.543  1.000e+00  9.998e-01     0.507  1.000e+00  1.000e+00     0.507
 80200  -881.423  0.525  9.999e-01  9.998e-01     0.506  1.000e+00  1.000e+00     0.506
 80400  -864.031  0.556  9.995e-01  9.998e-01     0.509  1.000e+00  1.000e+00     0.509
 80600  -838.135  0.543  9.997e-01  9.998e-01     0.510  1.000e+00  1.000e+00     0.511
 80800  -814.132  0.593  9.993e-01  9.998e-01     0.516  1.001e+00  1.000e+00     0.516
 81000  -848.643  0.617  1.000e+00  9.998e-01     0.514  9.999e-01  1.000e+00     0.514
 81200  -801.933  0.537  9.995e-01  9.998e-01     0.517  1.000e+00  1.000e+00     0.518
 81400  -793.702  0.574  9.999e-01  9.998e-01     0.517  1.000e+00  1.000e+00     0.517
 81600  -791.844  0.556  9.995e-01  9.998e-01     0.521  1.000e+00  1.000e+00     0.521
 81800  -851.151  0.574  9.990e-01  9.998e-01     0.529  1.001e+00  1.000e+00     0.529
 82000  -867.314  0.537  1.000e+00  9.998e-01     0.527  1.000e+00  1.000e+00     0.527
 82200  -863.456  0.568  1.000e+00  9.998e-01     0.524  9.999e-01  1.000e+00     0.525
 82400  -816.372  0.574  1.000e+00  9.998e-01     0.523  1.000e+00  1.000e+00     0.523
 82600  -846.695  0.574  9.997e-01  9.998e-01     0.524  1.000e+00  1.000e+00     0.524
 82800  -860.871  0.500  1.000e+00  9.998e-01     0.518  9.996e-01  1.000e+00     0.518
 83000  -851.804  0.586  1.000e+00  9.998e-01     0.514  9.997e-01  1.000e+00     0.514
 83200  -822.861  0.475  1.000e+00  9.998e-01     0.508  9.996e-01  1.000e+00     0.508
 83400  -866.293  0.562  9.991e-01  9.998e-01     0.516  1.001e+00  1.000e+00     0.516
 83600  -847.407  0.512  9.992e-01  9.998e-01     0.522  1.001e+00  1.000e+00     0.522
 83800  -862.661  0.617  1.000e+00  9.998e-01     0.519  9.999e-01  1.000e+00     0.519
 84000  -920.553  0.525  1.001e+00  9.998e-01     0.513  9.995e-01  1.000e+00     0.513
 84200  -909.501  0.494  1.000e+00  9.998e-01     0.508  9.997e-01  1.000e+00     0.508
 84400  -897.660  0.568  9.999e-01  9.998e-01     0.507  1.000e+00  1.000e+00     0.507
 84600  -851.276  0.549  9.998e-01  9.998e-01     0.508  1.000e+00  1.000e+00     0.508
 84800  -884.284  0.599  9.999e-01  9.998e-01     0.507  1.000e+00  1.000e+00     0.507
 85000  -887.431  0.568  9.992e-01  9.998e-01     0.514  1.001e+00  1.000e+00     0.514
 85200  -904.980  0.556  9.996e-01  9.998e-01     0.516  1.000e+00  1.000e+00     0.516
 85400  -908.953  0.568  9.998e-01  9.998e-01     0.517  1.000e+00  1.000e+00     0.517
 85600  -888.203  0.506  1.000e+00  9.998e-01     0.512  9.997e-01  1.000e+00     0.512
 85800  -925.279  0.562  9.999e-01  9.998e-01     0.512  1.000e+00  1.000e+00     0.512
 86000  -930.737  0.469  1.000e+00  9.998e-01     0.509  9.999e-01  1.000e+00     0.509
 86200  -916.502  0.531  9.994e-01  9.998e-01     0.514  1.001e+00  1.000e+00     0.514
 86400  -890.050  0.562  1.001e+00  9.998e-01     0.507  9.994e-01  1.000e+00     0.507
 86600  -912.532  0.531  9.993e-01  9.998e-01     0.512  1.001e+00  1.000e+00     0.512
 86800  -910.090  0.549  1.000e+00  9.998e-01     0.508  9.998e-01  1.000e+00     0.508
 87000  -952.318  0.580  9.997e-01  9.998e-01     0.509  1.000e+00  1.000e+00     0.509
 87200  -945.797  0.525  1.000e+00  9.998e-01     0.504  9.996e-01  1.000e+00     0.504
 87400  -880.959  0.586  9.995e-01  9.998e-01     0.507  1.000e+00  1.000e+00     0.507
 87600  -896.744  0.568  9.992e-01  9.998e-01     0.513  1.001e+00  1.000e+00     0.514
 87800  -905.434  0.611  9.991e-01  9.998e-01     0.521  1.001e+00  1.000e+00     0.521
 88000  -919.184  0.463  1.000e+00  9.998e-01     0.518  9.998e-01  1.000e+00     0.518
 88200  -930.537  0.543  1.000e+00  9.998e-01     0.514  9.998e-01  1.000e+00     0.514
 88400  -919.820  0.556  1.000e+00  9.998e-01     0.513  1.000e+00  1.000e+00     0.513
 88600  -918.595  0.488  1.000e+00  9.998e-01     0.510  9.998e-01  1.000e+00     0.510
 88800  -915.464  0.525  9.999e-01  9.998e-01     0.510  1.000e+00  1.000e+00     0.510
 89000  -895.456  0.593  1.001e+00  9.998e-01     0.501  9.992e-01  1.000e+00     0.501
 89200  -920.255  0.506  9.995e-01  9.998e-01     0.504  1.001e+00  1.000e+00     0.504
 89400  -929.580  0.568  9.996e-01  9.998e-01     0.506  1.000e+00  1.000e+00     0.506
 89600  -892.223  0.531  9.996e-01  9.998e-01     0.508  1.000e+00  1.000e+00     0.508
 89800  -920.212  0.543  9.992e-01  9.998e-01     0.514  1.001e+00  1.000e+00     0.514
 90000  -952.832  0.543  1.000e+00  9.998e-01     0.511  9.999e-01  1.000e+00     0.511
 90200  -959.609  0.494  9.989e-01  9.998e-01     0.520  1.001e+00  1.000e+00     0.520
 90400  -902.776  0.605  9.993e-01  9.998e-01     0.524  1.001e+00  1.000e+00     0.524
 90600  -930.526  0.568  9.987e-01  9.998e-01     0.535  1.001e+00  1.000e+00     0.535
 90800  -938.252  0.580  9.996e-01  9.998e-01     0.537  1.000e+00  1.000e+00     0.537
 91000  -915.086  0.568  9.991e-01  9.998e-01     0.544  1.001e+00  1.000e+00     0.544
 91200  -890.805  0.599  9.998e-01  9.998e-01     0.545  1.000e+00  1.000e+00     0.545
 91400  -882.885  0.512  9.997e-01  9.998e-01     0.546  1.000e+00  1.000e+00     0.546
 91600  -895.645  0.543  9.996e-01  9.998e-01     0.548  1.000e+00  1.000e+00     0.548
 91800  -897.263  0.617  1.000e+00  9.998e-01     0.546  1.000e+00  1.000e+00     0.546
 92000  -912.832  0.586  1.000e+00  9.998e-01     0.545  1.000e+00  1.000e+00     0.545
 92200  -952.461  0.525  1.000e+00  9.998e-01     0.542  9.999e-01  1.000e+00     0.542
 92400  -952.340  0.506  1.000e+00  9.998e-01     0.539  9.998e-01  1.000e+00     0.539
 92600  -957.399  0.543  9.997e-01  9.998e-01     0.540  1.000e+00  1.000e+00     0.540
 92800  -953.412  0.475  9.998e-01  9.998e-01     0.540  1.000e+00  1.000e+00     0.540
 93000  -935.989  0.543  9.995e-01  9.998e-01     0.544  1.001e+00  1.000e+00     0.544
 93200  -915.496  0.562  1.001e+00  9.998e-01     0.535  9.992e-01  1.000e+00     0.535
 93400  -914.655  0.525  9.998e-01  9.998e-01     0.535  1.000e+00  1.000e+00     0.535
 93600  -895.854  0.537  9.998e-01  9.998e-01     0.536  1.000e+00  1.000e+00     0.536
 93800  -894.943  0.494  9.996e-01  9.998e-01     0.538  1.000e+00  1.000e+00     0.538
 94000  -891.687  0.556  9.988e-01  9.998e-01     0.547  1.001e+00  1.000e+00     0.547
 94200  -889.128  0.599  1.000e+00  9.998e-01     0.544  9.999e-01  1.000e+00     0.544
 94400  -920.397  0.537  9.987e-01  9.998e-01     0.554  1.001e+00  1.000e+00     0.554
 94600  -923.188  0.599  1.000e+00  9.998e-01     0.552  9.999e-01  1.000e+00     0.552
 94800  -938.196  0.574  9.996e-01  9.998e-01     0.553  1.000e+00  1.000e+00     0.553
 95000  -935.021  0.531  9.995e-01  9.998e-01     0.556  1.001e+00  1.000e+00     0.556
 95200  -955.111  0.556  1.000e+00  9.998e-01     0.553  9.998e-01  1.000e+00     0.553
 95400  -960.715  0.531  1.001e+00  9.998e-01     0.547  9.995e-01  1.000e+00     0.547
 95600  -964.380  0.475  1.001e+00  9.998e-01     0.540  9.993e-01  1.000e+00     0.540
 95800  -958.741  0.562  1.000e+00  9.998e-01     0.538  1.000e+00  1.000e+00     0.538
 96000  -958.861  0.488  9.991e-01  9.998e-01     0.544  1.001e+00  1.000e+00     0.544
 96200  -947.675  0.481  9.993e-01  9.998e-01     0.549  1.001e+00  1.000e+00     0.549
 96400  -892.778  0.537  1.001e+00  9.998e-01     0.541  9.992e-01  1.000e+00     0.541
 96600  -894.351  0.593  9.990e-01  9.998e-01     0.547  1.001e+00  1.000e+00     0.547
 96800  -907.869  0.537  9.988e-01  9.998e-01     0.555  1.001e+00  1.000e+00     0.555
 97000  -961.939  0.593  9.993e-01  9.998e-01     0.560  1.001e+00  1.000e+00     0.560
 97200  -895.472  0.525  9.997e-01  9.998e-01     0.561  1.000e+00  1.000e+00     0.561
 97400  -883.438  0.543  9.998e-01  9.998e-01     0.561  1.000e+00  1.000e+00     0.561
 97600  -903.261  0.562  1.000e+00  9.998e-01     0.556  9.995e-01  1.000e+00     0.556
 97800  -940.800  0.481  1.000e+00  9.998e-01     0.553  9.998e-01  1.000e+00     0.553
 98000  -920.843  0.488  9.992e-01  9.998e-01     0.558  1.001e+00  1.000e+00     0.558
 98200  -922.752  0.512  1.000e+00  9.998e-01     0.557  1.000e+00  1.000e+00     0.557
 98400  -923.113  0.549  1.000e+00  9.998e-01     0.555  1.000e+00  1.000e+00     0.555
 98600  -938.288  0.586  9.995e-01  9.998e-01     0.558  1.001e+00  1.000e+00     0.558
 98800  -921.718  0.549  9.995e-01  9.998e-01     0.561  1.001e+00  1.000e+00     0.561
 99000  -899.044  0.537  9.996e-01  9.998e-01     0.563  1.000e+00  1.000e+00     0.563
 99200  -922.086  0.525  1.001e+00  9.998e-01     0.556  9.993e-01  1.000e+00     0.556
 99400  -927.370  0.586  9.995e-01  9.998e-01     0.559  1.001e+00  1.000e+00     0.559
 99600  -893.507  0.549  1.000e+00  9.998e-01     0.557  9.999e-01  1.000e+00     0.557
 99800  -907.366  0.537  9.997e-01  9.998e-01     0.557  1.000e+00  1.000e+00     0.557
100000  -914.676  0.506  9.999e-01  9.998e-01     0.557  1.000e+00  1.000e+00     0.557

gamma(area increase) = 0.556881
gamma(area decrease) = 0.556948
